frequency_hz,dB,pedal,gain,tone
43.066406,-22.093952,Ibanez TS808,50%,0%
86.132812,-14.299295000000004,Ibanez TS808,50%,0%
129.199219,-10.468786000000005,Ibanez TS808,50%,0%
172.265625,-8.997117000000003,Ibanez TS808,50%,0%
215.332031,-8.066373000000006,Ibanez TS808,50%,0%
258.398438,-6.777064000000003,Ibanez TS808,50%,0%
301.464844,-5.320680000000003,Ibanez TS808,50%,0%
344.53125,-5.305855000000003,Ibanez TS808,50%,0%
387.597656,-5.127719000000003,Ibanez TS808,50%,0%
430.664062,-4.2891150000000025,Ibanez TS808,50%,0%
473.730469,-4.171617000000005,Ibanez TS808,50%,0%
516.796875,-4.795294000000002,Ibanez TS808,50%,0%
559.863281,-3.9919630000000055,Ibanez TS808,50%,0%
602.929688,-4.148653000000007,Ibanez TS808,50%,0%
645.996094,-4.168472000000001,Ibanez TS808,50%,0%
689.0625,-4.300267000000005,Ibanez TS808,50%,0%
732.128906,-4.6781270000000035,Ibanez TS808,50%,0%
775.195312,-4.6720690000000005,Ibanez TS808,50%,0%
818.261719,-4.330110000000001,Ibanez TS808,50%,0%
861.328125,-4.716625000000004,Ibanez TS808,50%,0%
904.394531,-4.466613000000002,Ibanez TS808,50%,0%
947.460938,-5.129764999999999,Ibanez TS808,50%,0%
990.527344,-5.5025130000000075,Ibanez TS808,50%,0%
1033.59375,-6.5863890000000005,Ibanez TS808,50%,0%
1076.660156,-5.743579000000004,Ibanez TS808,50%,0%
1119.726562,-6.055967000000006,Ibanez TS808,50%,0%
1162.792969,-6.675551000000006,Ibanez TS808,50%,0%
1205.859375,-6.644805000000002,Ibanez TS808,50%,0%
1248.925781,-6.091569000000003,Ibanez TS808,50%,0%
1291.992188,-6.184811000000007,Ibanez TS808,50%,0%
1335.058594,-6.386950000000002,Ibanez TS808,50%,0%
1378.125,-5.490234000000001,Ibanez TS808,50%,0%
1421.191406,-6.310203000000001,Ibanez TS808,50%,0%
1464.257812,-7.212075000000006,Ibanez TS808,50%,0%
1507.324219,-6.788434000000006,Ibanez TS808,50%,0%
1550.390625,-7.519866000000004,Ibanez TS808,50%,0%
1593.457031,-7.285226000000005,Ibanez TS808,50%,0%
1636.523438,-7.466569000000003,Ibanez TS808,50%,0%
1679.589844,-7.570280000000004,Ibanez TS808,50%,0%
1722.65625,-7.5869370000000025,Ibanez TS808,50%,0%
1765.722656,-6.813989000000003,Ibanez TS808,50%,0%
1808.789062,-7.557763000000001,Ibanez TS808,50%,0%
1851.855469,-8.255075000000001,Ibanez TS808,50%,0%
1894.921875,-9.302190000000007,Ibanez TS808,50%,0%
1937.988281,-9.670003000000005,Ibanez TS808,50%,0%
1981.054688,-9.259908,Ibanez TS808,50%,0%
2024.121094,-9.297048000000004,Ibanez TS808,50%,0%
2067.1875,-9.109433000000003,Ibanez TS808,50%,0%
2110.253906,-9.353702000000002,Ibanez TS808,50%,0%
2153.320312,-9.849741999999999,Ibanez TS808,50%,0%
2196.386719,-9.599334000000006,Ibanez TS808,50%,0%
2239.453125,-9.194816000000007,Ibanez TS808,50%,0%
2282.519531,-9.479890000000001,Ibanez TS808,50%,0%
2325.585938,-10.113567000000003,Ibanez TS808,50%,0%
2368.652344,-9.855734000000002,Ibanez TS808,50%,0%
2411.71875,-9.927517000000005,Ibanez TS808,50%,0%
2454.785156,-9.437427000000007,Ibanez TS808,50%,0%
2497.851562,-10.097625000000004,Ibanez TS808,50%,0%
2540.917969,-10.437890000000003,Ibanez TS808,50%,0%
2583.984375,-10.715906,Ibanez TS808,50%,0%
2627.050781,-10.979149000000003,Ibanez TS808,50%,0%
2670.117188,-10.496423000000007,Ibanez TS808,50%,0%
2713.183594,-10.815868000000002,Ibanez TS808,50%,0%
2756.25,-11.109605000000002,Ibanez TS808,50%,0%
2799.316406,-10.881030000000003,Ibanez TS808,50%,0%
2842.382812,-11.278301000000003,Ibanez TS808,50%,0%
2885.449219,-11.394338000000001,Ibanez TS808,50%,0%
2928.515625,-10.954694000000003,Ibanez TS808,50%,0%
2971.582031,-10.638212000000006,Ibanez TS808,50%,0%
3014.648438,-10.900018000000006,Ibanez TS808,50%,0%
3057.714844,-11.140880000000006,Ibanez TS808,50%,0%
3100.78125,-11.363172000000006,Ibanez TS808,50%,0%
3143.847656,-11.856956000000004,Ibanez TS808,50%,0%
3186.914062,-11.303571000000005,Ibanez TS808,50%,0%
3229.980469,-10.820594,Ibanez TS808,50%,0%
3273.046875,-10.478385000000006,Ibanez TS808,50%,0%
3316.113281,-11.256101000000001,Ibanez TS808,50%,0%
3359.179688,-12.261786000000008,Ibanez TS808,50%,0%
3402.246094,-11.715923000000004,Ibanez TS808,50%,0%
3445.3125,-11.161943,Ibanez TS808,50%,0%
3488.378906,-11.721797000000002,Ibanez TS808,50%,0%
3531.445312,-11.591022000000002,Ibanez TS808,50%,0%
3574.511719,-11.074912000000005,Ibanez TS808,50%,0%
3617.578125,-11.524894000000003,Ibanez TS808,50%,0%
3660.644531,-11.867958000000002,Ibanez TS808,50%,0%
3703.710938,-11.704109000000003,Ibanez TS808,50%,0%
3746.777344,-11.416377000000004,Ibanez TS808,50%,0%
3789.84375,-12.265842,Ibanez TS808,50%,0%
3832.910156,-12.974891000000007,Ibanez TS808,50%,0%
3875.976562,-12.089770000000009,Ibanez TS808,50%,0%
3919.042969,-12.262862000000005,Ibanez TS808,50%,0%
3962.109375,-12.487369000000001,Ibanez TS808,50%,0%
4005.175781,-12.253349000000007,Ibanez TS808,50%,0%
4048.242188,-12.648956000000005,Ibanez TS808,50%,0%
4091.308594,-12.710891000000004,Ibanez TS808,50%,0%
4134.375,-12.709568000000004,Ibanez TS808,50%,0%
4177.441406,-13.468826000000007,Ibanez TS808,50%,0%
4220.507812,-14.040214000000006,Ibanez TS808,50%,0%
4263.574219,-13.115649000000005,Ibanez TS808,50%,0%
4306.640625,-12.693626000000009,Ibanez TS808,50%,0%
4349.707031,-13.31042,Ibanez TS808,50%,0%
4392.773438,-13.267700000000005,Ibanez TS808,50%,0%
4435.839844,-13.483898000000003,Ibanez TS808,50%,0%
4478.90625,-13.534297000000002,Ibanez TS808,50%,0%
4521.972656,-14.113761000000004,Ibanez TS808,50%,0%
4565.039062,-13.208278000000007,Ibanez TS808,50%,0%
4608.105469,-13.182651,Ibanez TS808,50%,0%
4651.171875,-13.287536000000003,Ibanez TS808,50%,0%
4694.238281,-12.894801000000008,Ibanez TS808,50%,0%
4737.304688,-13.670062999999999,Ibanez TS808,50%,0%
4780.371094,-13.928939999999997,Ibanez TS808,50%,0%
4823.4375,-13.433124,Ibanez TS808,50%,0%
4866.503906,-13.339657000000003,Ibanez TS808,50%,0%
4909.570312,-13.340777000000003,Ibanez TS808,50%,0%
4952.636719,-13.747459000000006,Ibanez TS808,50%,0%
4995.703125,-13.823646000000004,Ibanez TS808,50%,0%
5038.769531,-14.291609999999999,Ibanez TS808,50%,0%
5081.835938,-14.264770000000006,Ibanez TS808,50%,0%
5124.902344,-14.801292000000004,Ibanez TS808,50%,0%
5167.96875,-14.618519000000006,Ibanez TS808,50%,0%
5211.035156,-14.042388000000003,Ibanez TS808,50%,0%
5254.101562,-14.02272,Ibanez TS808,50%,0%
5297.167969,-13.967979000000007,Ibanez TS808,50%,0%
5340.234375,-14.718883000000005,Ibanez TS808,50%,0%
5383.300781,-13.914908000000004,Ibanez TS808,50%,0%
5426.367188,-13.830061999999998,Ibanez TS808,50%,0%
5469.433594,-13.900390000000009,Ibanez TS808,50%,0%
5512.5,-14.157813000000004,Ibanez TS808,50%,0%
5555.566406,-14.859561000000006,Ibanez TS808,50%,0%
5598.632812,-15.203193000000006,Ibanez TS808,50%,0%
5641.699219,-14.290588000000007,Ibanez TS808,50%,0%
5684.765625,-14.106842000000007,Ibanez TS808,50%,0%
5727.832031,-13.486785000000005,Ibanez TS808,50%,0%
5770.898438,-13.914016000000004,Ibanez TS808,50%,0%
5813.964844,-14.247062,Ibanez TS808,50%,0%
5857.03125,-14.453670000000002,Ibanez TS808,50%,0%
5900.097656,-14.437930000000009,Ibanez TS808,50%,0%
5943.164062,-14.233546000000004,Ibanez TS808,50%,0%
5986.230469,-14.710124,Ibanez TS808,50%,0%
6029.296875,-14.797263000000001,Ibanez TS808,50%,0%
6072.363281,-14.925559,Ibanez TS808,50%,0%
6115.429688,-15.285705,Ibanez TS808,50%,0%
6158.496094,-15.771877000000003,Ibanez TS808,50%,0%
6201.5625,-15.279751000000005,Ibanez TS808,50%,0%
6244.628906,-15.557312000000003,Ibanez TS808,50%,0%
6287.695312,-14.878387000000004,Ibanez TS808,50%,0%
6330.761719,-14.767780000000002,Ibanez TS808,50%,0%
6373.828125,-15.573409000000005,Ibanez TS808,50%,0%
6416.894531,-15.691527,Ibanez TS808,50%,0%
6459.960938,-16.57255500000001,Ibanez TS808,50%,0%
6503.027344,-15.488761000000004,Ibanez TS808,50%,0%
6546.09375,-14.779960000000003,Ibanez TS808,50%,0%
6589.160156,-15.357714999999999,Ibanez TS808,50%,0%
6632.226562,-15.034515000000006,Ibanez TS808,50%,0%
6675.292969,-15.309131,Ibanez TS808,50%,0%
6718.359375,-16.444229,Ibanez TS808,50%,0%
6761.425781,-16.217876000000004,Ibanez TS808,50%,0%
6804.492188,-16.192173000000004,Ibanez TS808,50%,0%
6847.558594,-15.89065500000001,Ibanez TS808,50%,0%
6890.625,-16.268275000000003,Ibanez TS808,50%,0%
6933.691406,-16.060474000000006,Ibanez TS808,50%,0%
6976.757812,-15.130680000000005,Ibanez TS808,50%,0%
7019.824219,-15.937675000000006,Ibanez TS808,50%,0%
7062.890625,-17.545303000000004,Ibanez TS808,50%,0%
7105.957031,-16.54807600000001,Ibanez TS808,50%,0%
7149.023438,-16.978527000000007,Ibanez TS808,50%,0%
7192.089844,-16.594738,Ibanez TS808,50%,0%
7235.15625,-17.219592,Ibanez TS808,50%,0%
7278.222656,-16.886268,Ibanez TS808,50%,0%
7321.289062,-17.085307999999998,Ibanez TS808,50%,0%
7364.355469,-16.029971000000003,Ibanez TS808,50%,0%
7407.421875,-15.590942000000005,Ibanez TS808,50%,0%
7450.488281,-15.612292000000004,Ibanez TS808,50%,0%
7493.554688,-15.662590000000009,Ibanez TS808,50%,0%
7536.621094,-16.03087500000001,Ibanez TS808,50%,0%
7579.6875,-16.231674000000005,Ibanez TS808,50%,0%
7622.753906,-16.498119000000003,Ibanez TS808,50%,0%
7665.820312,-17.069560000000003,Ibanez TS808,50%,0%
7708.886719,-17.666801,Ibanez TS808,50%,0%
7751.953125,-17.381759000000002,Ibanez TS808,50%,0%
7795.019531,-17.57466,Ibanez TS808,50%,0%
7838.085938,-17.384311000000004,Ibanez TS808,50%,0%
7881.152344,-16.734501,Ibanez TS808,50%,0%
7924.21875,-17.340221,Ibanez TS808,50%,0%
7967.285156,-17.690689,Ibanez TS808,50%,0%
8010.351562,-17.806468000000002,Ibanez TS808,50%,0%
8053.417969,-17.101978000000003,Ibanez TS808,50%,0%
8096.484375,-17.609096,Ibanez TS808,50%,0%
8139.550781,-17.969951000000002,Ibanez TS808,50%,0%
8182.617188,-17.243568000000003,Ibanez TS808,50%,0%
8225.683594,-17.626106,Ibanez TS808,50%,0%
8268.75,-18.219139000000006,Ibanez TS808,50%,0%
8311.816406,-17.975837,Ibanez TS808,50%,0%
8354.882812,-16.94746,Ibanez TS808,50%,0%
8397.949219,-17.500728000000002,Ibanez TS808,50%,0%
8441.015625,-18.814159000000004,Ibanez TS808,50%,0%
8484.082031,-18.593787,Ibanez TS808,50%,0%
8527.148438,-18.061542000000003,Ibanez TS808,50%,0%
8570.214844,-17.304264000000003,Ibanez TS808,50%,0%
8613.28125,-17.506702000000004,Ibanez TS808,50%,0%
8656.347656,-17.78463,Ibanez TS808,50%,0%
8699.414062,-18.076359000000004,Ibanez TS808,50%,0%
8742.480469,-18.099193000000007,Ibanez TS808,50%,0%
8785.546875,-17.873958000000002,Ibanez TS808,50%,0%
8828.613281,-17.953838000000005,Ibanez TS808,50%,0%
8871.679688,-17.578426,Ibanez TS808,50%,0%
8914.746094,-17.615589000000007,Ibanez TS808,50%,0%
8957.8125,-17.741782000000008,Ibanez TS808,50%,0%
9000.878906,-17.477718000000003,Ibanez TS808,50%,0%
9043.945312,-17.730998,Ibanez TS808,50%,0%
9087.011719,-18.321472,Ibanez TS808,50%,0%
9130.078125,-18.573814000000006,Ibanez TS808,50%,0%
9173.144531,-18.786068000000007,Ibanez TS808,50%,0%
9216.210938,-18.650287000000006,Ibanez TS808,50%,0%
9259.277344,-18.54865600000001,Ibanez TS808,50%,0%
9302.34375,-18.073097000000004,Ibanez TS808,50%,0%
9345.410156,-17.961399000000007,Ibanez TS808,50%,0%
9388.476562,-18.083396,Ibanez TS808,50%,0%
9431.542969,-17.967993999999997,Ibanez TS808,50%,0%
9474.609375,-17.60657400000001,Ibanez TS808,50%,0%
9517.675781,-18.24351,Ibanez TS808,50%,0%
9560.742188,-18.51505600000001,Ibanez TS808,50%,0%
9603.808594,-18.780029000000006,Ibanez TS808,50%,0%
9646.875,-18.462196,Ibanez TS808,50%,0%
9689.941406,-18.756752,Ibanez TS808,50%,0%
9733.007812,-19.1678,Ibanez TS808,50%,0%
9776.074219,-18.840404000000007,Ibanez TS808,50%,0%
9819.140625,-19.168010000000002,Ibanez TS808,50%,0%
9862.207031,-19.672313000000003,Ibanez TS808,50%,0%
9905.273438,-20.005675000000004,Ibanez TS808,50%,0%
9948.339844,-19.996311000000006,Ibanez TS808,50%,0%
9991.40625,-19.118606000000007,Ibanez TS808,50%,0%
10034.472656,-19.281246000000003,Ibanez TS808,50%,0%
10077.539062,-18.98225,Ibanez TS808,50%,0%
10120.605469,-19.38118,Ibanez TS808,50%,0%
10163.671875,-20.305893000000005,Ibanez TS808,50%,0%
10206.738281,-19.709144000000002,Ibanez TS808,50%,0%
10249.804688,-19.221439000000004,Ibanez TS808,50%,0%
10292.871094,-19.270339,Ibanez TS808,50%,0%
10335.9375,-19.751830000000005,Ibanez TS808,50%,0%
10379.003906,-20.228111,Ibanez TS808,50%,0%
10422.070312,-20.199191000000006,Ibanez TS808,50%,0%
10465.136719,-20.247199000000002,Ibanez TS808,50%,0%
10508.203125,-19.910422000000004,Ibanez TS808,50%,0%
10551.269531,-19.992363000000005,Ibanez TS808,50%,0%
10594.335938,-19.425082000000003,Ibanez TS808,50%,0%
10637.402344,-20.106449000000005,Ibanez TS808,50%,0%
10680.46875,-20.696445000000004,Ibanez TS808,50%,0%
10723.535156,-20.204071,Ibanez TS808,50%,0%
10766.601562,-19.444747,Ibanez TS808,50%,0%
10809.667969,-20.122985000000007,Ibanez TS808,50%,0%
10852.734375,-20.690204,Ibanez TS808,50%,0%
10895.800781,-20.921211,Ibanez TS808,50%,0%
10938.867188,-21.137950000000004,Ibanez TS808,50%,0%
10981.933594,-20.403232000000003,Ibanez TS808,50%,0%
11025,-20.365005000000004,Ibanez TS808,50%,0%
11068.066406,-20.736942,Ibanez TS808,50%,0%
11111.132812,-20.545452000000004,Ibanez TS808,50%,0%
11154.199219,-20.799979,Ibanez TS808,50%,0%
11197.265625,-20.917437,Ibanez TS808,50%,0%
11240.332031,-20.159938000000004,Ibanez TS808,50%,0%
11283.398438,-20.498271000000003,Ibanez TS808,50%,0%
11326.464844,-20.276626000000007,Ibanez TS808,50%,0%
11369.53125,-20.800029000000002,Ibanez TS808,50%,0%
11412.597656,-20.623645000000003,Ibanez TS808,50%,0%
11455.664062,-20.47237700000001,Ibanez TS808,50%,0%
11498.730469,-21.014659,Ibanez TS808,50%,0%
11541.796875,-21.680305000000004,Ibanez TS808,50%,0%
11584.863281,-21.474227,Ibanez TS808,50%,0%
11627.929688,-20.926624000000004,Ibanez TS808,50%,0%
11670.996094,-21.313266000000006,Ibanez TS808,50%,0%
11714.0625,-21.78627000000001,Ibanez TS808,50%,0%
11757.128906,-20.946013,Ibanez TS808,50%,0%
11800.195312,-21.191795,Ibanez TS808,50%,0%
11843.261719,-21.005763,Ibanez TS808,50%,0%
11886.328125,-20.996425000000002,Ibanez TS808,50%,0%
11929.394531,-21.100887,Ibanez TS808,50%,0%
11972.460938,-21.127590000000005,Ibanez TS808,50%,0%
12015.527344,-20.81628,Ibanez TS808,50%,0%
12058.59375,-21.736907000000002,Ibanez TS808,50%,0%
12101.660156,-21.606555000000007,Ibanez TS808,50%,0%
12144.726562,-21.576938000000006,Ibanez TS808,50%,0%
12187.792969,-21.703989999999997,Ibanez TS808,50%,0%
12230.859375,-21.771934,Ibanez TS808,50%,0%
12273.925781,-21.676635000000005,Ibanez TS808,50%,0%
12316.992188,-21.753425,Ibanez TS808,50%,0%
12360.058594,-21.889488000000007,Ibanez TS808,50%,0%
12403.125,-21.174377,Ibanez TS808,50%,0%
12446.191406,-21.526592000000008,Ibanez TS808,50%,0%
12489.257812,-22.638194000000006,Ibanez TS808,50%,0%
12532.324219,-21.762443000000005,Ibanez TS808,50%,0%
12575.390625,-21.506866000000002,Ibanez TS808,50%,0%
12618.457031,-21.505633000000003,Ibanez TS808,50%,0%
12661.523438,-21.107838,Ibanez TS808,50%,0%
12704.589844,-21.234786,Ibanez TS808,50%,0%
12747.65625,-22.084957000000003,Ibanez TS808,50%,0%
12790.722656,-22.476959,Ibanez TS808,50%,0%
12833.789062,-21.639129000000004,Ibanez TS808,50%,0%
12876.855469,-21.853466000000004,Ibanez TS808,50%,0%
12919.921875,-21.947742000000005,Ibanez TS808,50%,0%
12962.988281,-22.085803000000006,Ibanez TS808,50%,0%
13006.054688,-22.847266000000005,Ibanez TS808,50%,0%
13049.121094,-22.478176000000005,Ibanez TS808,50%,0%
13092.1875,-22.662524000000005,Ibanez TS808,50%,0%
13135.253906,-22.471805000000003,Ibanez TS808,50%,0%
13178.320312,-21.933696000000005,Ibanez TS808,50%,0%
13221.386719,-22.232368,Ibanez TS808,50%,0%
13264.453125,-23.024417000000007,Ibanez TS808,50%,0%
13307.519531,-22.92870700000001,Ibanez TS808,50%,0%
13350.585938,-22.390316,Ibanez TS808,50%,0%
13393.652344,-22.274141999999998,Ibanez TS808,50%,0%
13436.71875,-22.773872000000004,Ibanez TS808,50%,0%
13479.785156,-23.827907000000003,Ibanez TS808,50%,0%
13522.851562,-23.416157,Ibanez TS808,50%,0%
13565.917969,-22.775867000000005,Ibanez TS808,50%,0%
13608.984375,-22.657203000000003,Ibanez TS808,50%,0%
13652.050781,-23.206153,Ibanez TS808,50%,0%
13695.117188,-23.501987000000007,Ibanez TS808,50%,0%
13738.183594,-23.558529,Ibanez TS808,50%,0%
13781.25,-24.180457000000004,Ibanez TS808,50%,0%
13824.316406,-23.759399000000002,Ibanez TS808,50%,0%
13867.382812,-22.875819000000007,Ibanez TS808,50%,0%
13910.449219,-22.669528,Ibanez TS808,50%,0%
13953.515625,-23.116084,Ibanez TS808,50%,0%
13996.582031,-23.189224000000003,Ibanez TS808,50%,0%
14039.648438,-23.422885000000008,Ibanez TS808,50%,0%
14082.714844,-23.384788000000007,Ibanez TS808,50%,0%
14125.78125,-23.394016,Ibanez TS808,50%,0%
14168.847656,-23.73664,Ibanez TS808,50%,0%
14211.914062,-23.934467000000005,Ibanez TS808,50%,0%
14254.980469,-23.14138700000001,Ibanez TS808,50%,0%
14298.046875,-22.972427000000003,Ibanez TS808,50%,0%
14341.113281,-23.757953,Ibanez TS808,50%,0%
14384.179688,-23.603637,Ibanez TS808,50%,0%
14427.246094,-23.600727,Ibanez TS808,50%,0%
14470.3125,-23.20668,Ibanez TS808,50%,0%
14513.378906,-24.130676,Ibanez TS808,50%,0%
14556.445312,-24.984710000000007,Ibanez TS808,50%,0%
14599.511719,-24.538268000000002,Ibanez TS808,50%,0%
14642.578125,-24.890137000000003,Ibanez TS808,50%,0%
14685.644531,-24.657657000000007,Ibanez TS808,50%,0%
14728.710938,-24.11101800000001,Ibanez TS808,50%,0%
14771.777344,-24.562378000000002,Ibanez TS808,50%,0%
14814.84375,-24.338546,Ibanez TS808,50%,0%
14857.910156,-24.568805000000005,Ibanez TS808,50%,0%
14900.976562,-24.064899000000004,Ibanez TS808,50%,0%
14944.042969,-24.547622000000004,Ibanez TS808,50%,0%
14987.109375,-24.518287000000008,Ibanez TS808,50%,0%
15030.175781,-25.026717000000005,Ibanez TS808,50%,0%
15073.242188,-24.70404,Ibanez TS808,50%,0%
15116.308594,-23.903236,Ibanez TS808,50%,0%
15159.375,-23.982685000000004,Ibanez TS808,50%,0%
15202.441406,-24.237281000000003,Ibanez TS808,50%,0%
15245.507812,-24.271953000000003,Ibanez TS808,50%,0%
15288.574219,-24.547725,Ibanez TS808,50%,0%
15331.640625,-25.302348000000002,Ibanez TS808,50%,0%
15374.707031,-25.640259000000007,Ibanez TS808,50%,0%
15417.773438,-25.255481000000003,Ibanez TS808,50%,0%
15460.839844,-25.261497000000006,Ibanez TS808,50%,0%
